slope_angle,soil_moisture,rainfall,rockfall_history,temperature,rockfall
29.5,36.2,126.9,0,11.4,0
30.3,89.8,24.2,1,15.5,1
37.1,34.9,25.9,0,35.6,0
56.0,64.7,20.4,1,22.4,1
22.5,65.3,75.1,1,33.7,0
8.1,54.7,22.0,0,30.4,0
25.6,56.7,43.1,1,39.0,0
28.8,82.4,38.7,0,28.0,0
18.2,61.2,220.0,0,42.0,1
30.4,36.2,41.8,0,12.7,0
62.5,73.7,32.5,0,42.0,1
20.7,43.7,27.4,0,10.2,0
40.3,33.0,44.1,0,38.1,1
55.0,52.5,36.3,0,9.1,0
55.6,36.6,9.0,1,21.8,1
55.1,46.7,95.8,0,15.3,1
28.1,73.5,35.7,0,24.2,1
36.4,40.3,27.8,0,16.5,1
56.4,96.8,73.9,0,17.5,1
5.0,32.1,43.3,0,20.3,0
62.4,78.7,41.4,0,15.8,1
50.3,30.4,18.1,0,20.2,0
41.8,65.1,48.0,0,17.5,1
38.5,46.5,51.1,0,18.6,0
53.6,92.9,42.7,0,20.1,0
22.6,76.1,30.8,0,19.6,1
36.9,74.2,57.2,0,14.7,1
8.3,69.3,34.9,0,12.4,1
33.0,46.6,38.3,0,29.8,1
34.6,48.5,18.9,0,14.8,0
64.7,70.3,36.6,0,27.6,1
15.2,74.0,20.3,1,23.3,0
45.8,23.7,32.2,0,25.2,1
6.5,45.3,30.4,0,13.3,0
21.8,62.6,54.0,1,20.4,1
53.0,45.7,10.3,1,21.2,1
38.3,54.4,30.1,1,14.4,0
43.2,78.9,19.0,1,26.2,1
34.2,44.4,68.1,0,32.2,0
5.0,43.0,73.7,0,21.8,0
36.8,43.9,76.2,1,29.5,1
26.1,41.8,24.8,0,31.7,0
33.4,78.4,47.8,0,14.8,1
18.4,75.6,11.5,0,23.2,0
39.4,60.6,22.7,0,30.9,0
41.5,51.3,25.0,1,15.4,1
24.8,74.0,81.2,0,24.3,0
30.8,57.8,95.4,1,30.0,1
17.6,32.6,37.2,0,31.2,0
50.5,88.6,47.2,0,27.9,1
17.2,69.5,171.7,1,22.6,0
41.6,38.9,71.5,1,17.1,0
30.1,27.1,18.3,0,26.5,0
33.6,64.3,59.8,0,20.8,1
31.0,44.3,22.9,0,21.7,0
52.7,20.5,109.1,0,35.4,1
40.3,83.4,73.7,1,28.1,1
39.2,51.5,79.4,0,36.3,1
23.5,61.6,27.7,1,17.3,1
30.6,60.7,51.6,0,22.1,0
31.0,73.9,109.4,0,23.9,1
53.7,79.2,22.0,1,26.6,1
29.1,28.8,50.7,1,29.8,1
34.2,82.4,91.2,1,15.3,0
20.1,26.4,140.3,0,22.0,0
40.1,97.9,25.0,1,25.5,1
5.0,69.6,31.5,0,13.9,0
22.5,50.3,78.3,1,27.4,1
6.2,66.9,46.8,0,32.1,0
11.0,48.3,220.0,0,31.8,0
32.8,90.1,26.3,0,13.6,1
14.6,88.0,96.2,1,37.6,1
45.1,43.7,26.6,0,22.6,1
19.1,53.4,159.4,0,26.0,0
